ImageID,Name,Status Completed (Y/N)
ami-0a90991d,AUTOMATION_EAST_NY_PS1002_CSS_JOHNSON_CITY_08102016_V2_120_SMALL_,
ami-0acd321c,WEST_AZ_PS10.1.1_VAIL_20170120_MEDIUM_CSS_,
ami-0ad89975,CANADA_ON_PS1105_OTTAWA_CATHOLIC_05102018_220_LARGE_,
ami-0b2934e1f6d7984ad,EAST - IL  PS 1202 08022018 - Oregon Community Unit School District 220   120_SMALL_,
ami-0b3d0974,COMMON_AZ_PS12002_SAHUARITA_UNIFIED_06282018_PSSR185903_EDFI_160_MEDIUM_,
ami-0b7069044301c32bb,CANADA_ON_PS12023_WELLINGTON_CATHOLIC_08222018_220_LARGE_,
ami-0b71be1f2a0e6f132,WEST_TX_PS12024_CSS_MIDLOTHIAN_08222018_160_MEDIUM_,
ami-0b944c39da6cbb045,CANADA_ON_PS12023_OTTAWA_CATH_ISSUE_SERVER_08242018_PSSR190260_BFT_300_LARGE_,
ami-0b99babddfc67bec0,EAST_IN_PS12024_PLAINFIELD_01252018_120_SMALL_,
ami-0c54fe095f5367fd2,WEST_TX_PS1201_CSS_DALLAS_08102018_220_LARGE_,
ami-0c933776,EAST_ME_PS1103_ADMINISTRATIVEDISTRICT1_10172017_300_LARGE_,
ami-0ca7ae1a,EAST_GA_PS11001_OCONEE_COUNTY_07102017_PSSR156811_120_SMALL_,
ami-0d32ad2582126a3d8,EAST_TN_PS11053_SHELBY_08212018_SR18722_220_LARGE_,
ami-0d7a2ea4fbfc001a3,PM_APPLEGROVE_18-19_PS1202_CO_SALESDEMO_120_SMALL_,
ami-0d98c5bf3e4ad5ad7,EAST_PA_PS11053_CSS_NORTH_HILLS_02082017_160_MEDIUM_,
ami-0da9df1a,PM_APPLEGROVE_PS1002_NO_STATE_V2_120_SMALL_,
ami-0dee863bbfe81daf2,PM_APPLEGROVE_18-19_PS1202_GA_SALESDEMO_120_SMALL_,
ami-0e21660eae5637631,WEST_TX_PS1204_CSS_LOVEJOY_MIGRATED_NOPISA_09062017_160_MEDIUM_,
ami-0edf77c270bbfc416,PM_APPLEGROVE_18-19_PS1202_IL_SALESDEMO_120_SMALL_,
ami-0ef64239f16ac85a8,PM_APPLEGROVE_18-19_PS1202_IA_SALESDEMO_120_SMALL_,
ami-0f3554b449a2dbea3,PM_APPLEGROVE_18-19_PS1202_AZ_SALESDEMO_120_SMALL_,
